handle,title,url,public_visible_products,shopify_reported_products_all_statuses,empty_public,public_product_handles
bracelets-aventurine-verte,Bracelets en aventurine verte,https://milaura.fr/collections/bracelets-aventurine-verte,7,7,NO,bracelet-baroque-en-aventurine-verte-16-a-18-cm|bracelet-dore-en-aventurine-verte-6-mm|bracelet-dore-en-aventurine-verte-8-mm|bracelet-eira-dore-en-aventurine-verte-6-mm|bracelet-en-aventurine-verte-4-mm-16-a-18-cm|bracelet-en-aventurine-verte-perles-de-8-mm|bracelet-halo-dore-en-aventurine-verte-4-mm
bracelets-cornaline,Bracelets en cornaline,https://milaura.fr/collections/bracelets-cornaline,8,8,NO,bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche|bracelet-dore-en-cornaline-6-mm|bracelet-dore-en-cornaline-facettee|bracelet-en-cornaline-10-mm-16-a-18-cm|bracelet-en-cornaline-14-mm-16-a-18-cm|bracelet-en-cornaline-8-mm-16-a-18-cm|bracelet-en-cornaline-perles-de-6-mm|bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm
bracelets-lapis-lazuli,Bracelets en lapis-lazuli,https://milaura.fr/collections/bracelets-lapis-lazuli,7,8,NO,bracelet-aska-noir-en-lapis-lazuli-et-onyx|bracelet-celyos-argente-lapis-lazuli-onyx-a|bracelet-dore-en-lapis-lazuli-4-a-12-mm|bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche|bracelet-dore-en-sodalite-et-pierres-bleues|bracelet-eira-dore-en-lapis-lazuli-6-mm|bracelet-en-lapis-lazuli-4-mm-16-a-18-cm
bracelets-onyx,Bracelets en onyx,https://milaura.fr/collections/bracelets-onyx,12,13,NO,bracelet-aska-noir-en-labradorite-et-onyx-6-mm|bracelet-aska-noir-en-lapis-lazuli-et-onyx|bracelet-aska-noir-en-oeil-de-taureau-et-onyx-6-mm|bracelet-aska-noir-en-oeil-de-tigre-et-onyx-6-mm|bracelet-celyos-argente-lapis-lazuli-onyx-a|bracelet-celyos-en-oeil-de-tigre-et-onyx|bracelet-kahel-argente-en-onyx-et-oeil-de-tigre|bracelet-kahel-argente-en-onyx-et-pierre-de-lave-8-mm|bracelet-kahel-en-onyx-et-hematite|bracelet-kahel-en-onyx-et-oeil-de-taureau|bracelet-legende-en-oeil-de-tigre-et-onyx|bracelet-unys-argente-en-onyx-et-oeil-de-taureau
bracelets-pierres,Bracelets en pierres naturelles,https://milaura.fr/collections/bracelets-pierres,114,205,NO,bracelet-alba-dore-en-jaspe-paysage-et-oeil-de-tigre|bracelet-argente-en-labradorite-6-mm|bracelet-argente-en-labradorite-8-mm|bracelet-aska-noir-en-labradorite-et-onyx-6-mm|bracelet-aska-noir-en-lapis-lazuli-et-onyx|bracelet-aska-noir-en-oeil-de-taureau-et-onyx-6-mm|bracelet-aska-noir-en-oeil-de-tigre-et-onyx-6-mm|bracelet-aventurine-rouge-1|bracelet-baroque-7-chakras-avec-amethyste|bracelet-baroque-en-aigue-marine-du-bresil-aa-16-a-18-cm|bracelet-baroque-en-ambre-jaune-16-a-18-cm|bracelet-baroque-en-amethyste-du-bresil-16-a-18-cm|bracelet-baroque-en-apatite-bleue-16-a-18-cm|bracelet-baroque-en-aventurine-verte-16-a-18-cm|bracelet-baroque-en-citrine-chauffee-16-a-18-cm|bracelet-baroque-en-fluorine-multicolore-16-a-18-cm|bracelet-baroque-en-hematite-16-a-18-cm|bracelet-baroque-en-jaspe-rouge-16-a-18-cm|bracelet-baroque-en-obsidienne-mixte-16-a-18-cm|bracelet-baroque-en-quartz-rose-de-madagascar-16-a-18-cm|bracelet-calysta-dore-en-quartz-rose-et-cristal-de-roche|bracelet-celyos-argente-lapis-lazuli-onyx-a|bracelet-celyos-en-oeil-de-tigre-et-onyx|bracelet-clea-dore-en-sodalite-8-mm|bracelet-dore-a-fleurs-de-nacre|bracelet-dore-en-aigue-marine-naturelle-16-a-21-cm|bracelet-dore-en-amethyste-16-a-21-cm|bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche|bracelet-dore-en-aventurine-verte-6-mm|bracelet-dore-en-aventurine-verte-8-mm|bracelet-dore-en-cornaline-6-mm|bracelet-dore-en-cornaline-facettee|bracelet-dore-en-grenat-rhodolite-3-mm|bracelet-dore-en-howlite-blanche-6-mm|bracelet-dore-en-howlite-et-pierre-de-lave-6-mm|bracelet-dore-en-labradorite-8-mm|bracelet-dore-en-lapis-lazuli-4-a-12-mm|bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche|bracelet-dore-en-nacre-et-pierre-de-lune|bracelet-dore-en-obsidienne-noire-6-mm|bracelet-dore-en-oeil-de-tigre-6-mm|bracelet-dore-en-quartz-rose-8-mm|bracelet-dore-en-sodalite-6-mm|bracelet-dore-en-sodalite-et-pierres-bleues|bracelet-dore-en-sodalite-perles-de-6-mm|bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine|bracelet-eira-dore-en-amethyste-6-mm|bracelet-eira-dore-en-aventurine-verte-6-mm|bracelet-eira-dore-en-howlite-blanche-6-mm|bracelet-eira-dore-en-lapis-lazuli-6-mm|bracelet-en-agate-bandee-perles-de-8-mm|bracelet-en-agate-fleur-de-cerisier-10-mm|bracelet-en-aigue-marine-4-5-a-5-5-mm-16-a-18-cm|bracelet-en-aigue-marine-chauffee-du-bresil-perles-de-8-mm|bracelet-en-amazonite-des-etats-unis-perles-de-6-mm|bracelet-en-amethyste-du-bresil-10-mm|bracelet-en-amethyste-rubanee-6-mm|bracelet-en-angelite-8-mm-16-a-18-cm|bracelet-en-apatite-bleue-6-mm-14-a-16-cm|bracelet-en-aventurine-bleue-perles-de-6-mm|bracelet-en-aventurine-verte-4-mm-16-a-18-cm|bracelet-en-aventurine-verte-perles-de-8-mm|bracelet-en-bois-de-palo-santo-10-mm|bracelet-en-calcedoine-bleue-de-namibie-perles-de-6-mm|bracelet-en-chrysocolle-du-congo-8-mm-16-a-18-cm|bracelet-en-citrine-chauffee-8-mm-16-a-18-cm|bracelet-en-corail-fossile-6-mm-16-a-18-cm|bracelet-en-cornaline-10-mm-16-a-18-cm|bracelet-en-cornaline-14-mm-16-a-18-cm|bracelet-en-cornaline-8-mm-16-a-18-cm|bracelet-en-cornaline-perles-de-6-mm|bracelet-en-cyanite-bleue-perles-de-6-mm|bracelet-en-dumortierite-6-mm|bracelet-en-fluorine-multicolore-10-mm|bracelet-en-grenat-rouge-4-mm|bracelet-en-grenat-rouge-6-mm|bracelet-en-grenat-rouge-8-mm|bracelet-en-hematite-perles-de-6-mm|bracelet-en-howlite-blanche-perles-de-6-mm|bracelet-en-jaspe-heliotrope-du-bresil-6-mm-16-a-18-cm|bracelet-en-lapis-lazuli-4-mm-16-a-18-cm|bracelet-en-lepidolite-8-mm-16-a-18-cm|bracelet-en-malachite-perles-de-6-mm|bracelet-en-obsidienne-noire-10-mm-16-a-18-cm|bracelet-en-oeil-de-tigre-8-mm-16-a-18-cm|bracelet-en-pierre-de-lune-multicolore-10-mm-16-a-18-cm|bracelet-en-pierre-de-lune-multicolore-perles-de-6-mm|bracelet-en-pierre-de-soleil-noire-orangee-10-mm-16-a-18-cm|bracelet-en-quartz-rose-12-mm-16-a-18-cm|bracelet-en-quartz-rose-du-bresil-6-mm-16-a-18-cm|bracelet-en-rhodonite-d-australie-6-mm-16-a-18-cm|bracelet-en-tourmaline-multicolore-4-mm-16-a-18-cm|bracelet-en-turquoise-d-afrique-6-mm-16-a-18-cm|bracelet-en-zoisite-perles-de-10-mm|bracelet-facette-en-grenat-rouge-4-mm|bracelet-fin-en-hematite-perles-de-4-mm|bracelet-halo-dore-en-aventurine-verte-4-mm|bracelet-halo-dore-en-sodalite-4-mm|bracelet-horus-dore-en-sodalite-6-mm|bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm|bracelet-kahel-argente-en-onyx-et-oeil-de-tigre|bracelet-kahel-argente-en-onyx-et-pierre-de-lave-8-mm|bracelet-kahel-en-onyx-et-hematite|bracelet-kahel-en-onyx-et-oeil-de-taureau|bracelet-labradorite|bracelet-legende-en-labradorite-oeil-de-tigre-et-hematite|bracelet-legende-en-oeil-de-tigre-et-onyx|bracelet-mira-dore-en-amethyste-et-cristal-de-roche-16-a-22-cm|bracelet-mira-dore-en-cristal-de-roche-4-mm|bracelet-mira-dore-en-quartz-rose-et-cristal-de-roche|bracelet-murmure-dore-en-amethyste-4-mm|bracelet-rosalia-dore-en-quartz-rose-et-rhodonite-3-mm|bracelet-seraphinite|bracelet-unys-argente-en-onyx-et-oeil-de-taureau
bracelets-quartz-rose,Bracelets en quartz rose,https://milaura.fr/collections/bracelets-quartz-rose,7,7,NO,bracelet-baroque-en-quartz-rose-de-madagascar-16-a-18-cm|bracelet-calysta-dore-en-quartz-rose-et-cristal-de-roche|bracelet-dore-en-quartz-rose-8-mm|bracelet-en-quartz-rose-12-mm-16-a-18-cm|bracelet-en-quartz-rose-du-bresil-6-mm-16-a-18-cm|bracelet-mira-dore-en-quartz-rose-et-cristal-de-roche|bracelet-rosalia-dore-en-quartz-rose-et-rhodonite-3-mm
bracelets-sodalite,Bracelets en sodalite,https://milaura.fr/collections/bracelets-sodalite,6,6,NO,bracelet-clea-dore-en-sodalite-8-mm|bracelet-dore-en-sodalite-6-mm|bracelet-dore-en-sodalite-et-pierres-bleues|bracelet-dore-en-sodalite-perles-de-6-mm|bracelet-halo-dore-en-sodalite-4-mm|bracelet-horus-dore-en-sodalite-6-mm
chaines,Chaînes pour pendentifs,https://milaura.fr/collections/chaines,1,5,NO,chaine-doree-maille-forcat-reglable-50-cm
colliers-amethyste,Colliers en améthyste,https://milaura.fr/collections/colliers-amethyste,2,4,NO,collier-boho-dore-en-amethyste-38-a-43-cm|collier-en-amethyste-du-bresil-4-mm-45-cm
colliers-pierres,Colliers en pierres naturelles,https://milaura.fr/collections/colliers-pierres,29,39,NO,collier-argente-en-sodalite-a-pampilles|collier-aventurine-verte-boho-dore|collier-boho-dore-en-amethyste-38-a-43-cm|collier-boule-06mm-jaspe-rouge-a|collier-calcedoine-bleue-4mm|collier-dore-en-cristal-de-roche|collier-dore-en-labradorite|collier-dore-en-oeil-de-tigre|collier-dore-en-sodalite-facettee-38-a-43-cm|collier-en-amethyste-du-bresil-4-mm-45-cm|collier-en-apatite-bleue-4-mm-45-cm|collier-en-aventurine-verte-6-mm-45-cm|collier-en-grenat-rouge-4-mm-45-cm|collier-en-grenat-rouge-6-mm-45-cm|collier-en-hematite-6-mm-45-cm|collier-en-howlite-blanche-6-mm-45-cm|collier-en-howlite-blanche-8-mm-45-cm|collier-en-jade-de-chine-6-mm-45-cm|collier-en-jaspe-rouge-6-mm-45-cm|collier-en-lapis-lazuli-d-afghanistan-4-mm-45-cm|collier-en-oeil-de-taureau-6-mm-45-cm|collier-en-oeil-de-taureau-8-mm-45-cm|collier-en-oeil-de-tigre-6-mm-45-cm|collier-en-quartz-rose-4-mm-45-cm|collier-en-rhodonite-de-madagascar-6-mm-45-cm|collier-nuage-argente-en-aigue-marine-4-mm-40-a-45-cm|collier-obsidienne-noire-boho-dore|collier-pyrite-1|collier-quartz-rose-boho-dore
